PM2.5,PM2.5(D-1),PM2.5(D-3),PM2.5(D-7),PM2.5(D+1),PM2.5(D+3),PM2.5(D+7),Season_Summer,Season_Rainy,Season_Winter
25.0,18.0,29.0,31.0,25.0,20.0,28.0,0,0,1
25.0,25.0,28.0,37.0,17.0,23.0,32.0,0,0,1
17.0,25.0,18.0,41.0,20.0,38.0,25.0,0,0,1
20.0,17.0,25.0,36.0,23.0,36.0,21.0,0,0,1
23.0,20.0,25.0,29.0,38.0,28.0,18.0,0,0,1
38.0,23.0,17.0,28.0,36.0,32.0,25.0,0,0,1
36.0,38.0,20.0,18.0,28.0,25.0,28.0,0,0,1
28.0,36.0,23.0,25.0,32.0,21.0,26.0,0,0,1
32.0,28.0,38.0,25.0,25.0,18.0,47.0,0,0,1
25.0,32.0,36.0,17.0,21.0,25.0,69.0,0,0,1
21.0,25.0,28.0,20.0,18.0,28.0,74.0,0,0,1
18.0,21.0,32.0,23.0,25.0,26.0,57.0,0,0,1
25.0,18.0,25.0,38.0,28.0,47.0,38.0,0,0,1
28.0,25.0,21.0,36.0,26.0,69.0,27.0,0,0,1
26.0,28.0,18.0,28.0,47.0,74.0,44.0,0,0,1
47.0,26.0,25.0,32.0,69.0,57.0,59.0,0,0,1
69.0,47.0,28.0,25.0,74.0,38.0,62.0,0,0,1
74.0,69.0,26.0,21.0,57.0,27.0,79.0,0,0,1
57.0,74.0,47.0,18.0,38.0,44.0,60.0,0,0,1
38.0,57.0,69.0,25.0,27.0,59.0,27.0,0,0,1
27.0,38.0,74.0,28.0,44.0,62.0,22.0,0,0,1
44.0,27.0,57.0,26.0,59.0,79.0,24.0,0,0,1
59.0,44.0,38.0,47.0,62.0,60.0,30.0,0,0,1
62.0,59.0,27.0,69.0,79.0,27.0,29.0,0,0,1
79.0,62.0,44.0,74.0,60.0,22.0,35.0,0,0,1
60.0,79.0,59.0,57.0,27.0,24.0,40.0,0,0,1
27.0,60.0,62.0,38.0,22.0,30.0,41.0,0,0,1
22.0,27.0,79.0,27.0,24.0,29.0,58.0,0,0,1
24.0,22.0,60.0,44.0,30.0,35.0,53.0,0,0,1
30.0,24.0,27.0,59.0,29.0,40.0,47.0,0,0,1
29.0,30.0,22.0,62.0,35.0,41.0,45.0,0,0,1
35.0,29.0,24.0,79.0,40.0,58.0,49.0,0,0,1
40.0,35.0,30.0,60.0,41.0,53.0,42.0,0,0,1
41.0,40.0,29.0,27.0,58.0,47.0,52.0,0,0,1
58.0,41.0,35.0,22.0,53.0,45.0,27.0,0,0,1
53.0,58.0,40.0,24.0,47.0,49.0,32.0,0,0,1
47.0,53.0,41.0,30.0,45.0,42.0,26.0,0,0,1
45.0,47.0,58.0,29.0,49.0,52.0,23.0,0,0,1
49.0,45.0,53.0,35.0,42.0,27.0,27.0,0,0,1
42.0,49.0,47.0,40.0,52.0,32.0,31.0,0,0,1
52.0,42.0,45.0,41.0,27.0,26.0,23.0,0,0,1
27.0,52.0,49.0,58.0,32.0,23.0,22.0,0,0,1
32.0,27.0,42.0,53.0,26.0,27.0,22.0,0,0,1
26.0,32.0,52.0,47.0,23.0,31.0,27.0,0,0,1
23.0,26.0,27.0,45.0,27.0,23.0,40.0,0,0,1
27.0,23.0,32.0,49.0,31.0,22.0,34.0,0,0,1
31.0,27.0,26.0,42.0,23.0,22.0,34.0,0,0,1
23.0,31.0,23.0,52.0,22.0,27.0,50.0,0,0,1
22.0,23.0,27.0,27.0,22.0,40.0,42.0,0,0,1
22.0,22.0,31.0,32.0,27.0,34.0,34.0,0,0,1
27.0,22.0,23.0,26.0,40.0,34.0,35.0,0,0,1
40.0,27.0,22.0,23.0,34.0,50.0,38.0,0,0,1
34.0,40.0,22.0,27.0,34.0,42.0,45.0,0,0,1
34.0,34.0,27.0,31.0,50.0,34.0,44.0,0,0,1
50.0,34.0,40.0,23.0,42.0,35.0,38.0,0,0,1
42.0,50.0,34.0,22.0,34.0,38.0,23.0,0,0,1
34.0,42.0,34.0,22.0,35.0,45.0,13.0,0,0,1
35.0,34.0,50.0,27.0,38.0,44.0,10.0,0,0,1
38.0,35.0,42.0,40.0,45.0,38.0,16.0,0,0,1
45.0,38.0,34.0,34.0,44.0,23.0,15.0,0,0,1
44.0,45.0,35.0,34.0,38.0,13.0,16.0,0,0,1
38.0,44.0,38.0,50.0,23.0,10.0,16.0,0,0,1
23.0,38.0,45.0,42.0,13.0,16.0,21.0,1,0,0
13.0,23.0,44.0,34.0,10.0,15.0,19.0,1,0,0
10.0,13.0,38.0,35.0,16.0,16.0,25.0,1,0,0
16.0,10.0,23.0,38.0,15.0,16.0,29.0,1,0,0
15.0,16.0,13.0,45.0,16.0,21.0,25.0,1,0,0
16.0,15.0,10.0,44.0,16.0,19.0,26.0,1,0,0
16.0,16.0,16.0,38.0,21.0,25.0,22.0,1,0,0
21.0,16.0,15.0,23.0,19.0,29.0,20.0,1,0,0
19.0,21.0,16.0,13.0,25.0,25.0,23.0,1,0,0
25.0,19.0,16.0,10.0,29.0,26.0,28.0,1,0,0
29.0,25.0,21.0,16.0,25.0,22.0,33.0,1,0,0
25.0,29.0,19.0,15.0,26.0,20.0,29.0,1,0,0
26.0,25.0,25.0,16.0,22.0,23.0,28.0,1,0,0
22.0,26.0,29.0,16.0,20.0,28.0,21.0,1,0,0
20.0,22.0,25.0,21.0,23.0,33.0,41.0,1,0,0
23.0,20.0,26.0,19.0,28.0,29.0,35.0,1,0,0
28.0,23.0,22.0,25.0,33.0,28.0,43.0,1,0,0
33.0,28.0,20.0,29.0,29.0,21.0,33.0,1,0,0
29.0,33.0,23.0,25.0,28.0,41.0,17.0,1,0,0
28.0,29.0,28.0,26.0,21.0,35.0,12.0,1,0,0
21.0,28.0,33.0,22.0,41.0,43.0,15.0,1,0,0
41.0,21.0,29.0,20.0,35.0,33.0,14.0,1,0,0
35.0,41.0,28.0,23.0,43.0,17.0,17.0,1,0,0
43.0,35.0,21.0,28.0,33.0,12.0,23.0,1,0,0
33.0,43.0,41.0,33.0,17.0,15.0,18.0,1,0,0
17.0,33.0,35.0,29.0,12.0,14.0,7.0,1,0,0
12.0,17.0,43.0,28.0,15.0,17.0,11.0,1,0,0
15.0,12.0,33.0,21.0,14.0,23.0,11.0,1,0,0
14.0,15.0,17.0,41.0,17.0,18.0,24.0,1,0,0
17.0,14.0,12.0,35.0,23.0,7.0,20.0,1,0,0
23.0,17.0,15.0,43.0,18.0,11.0,22.0,1,0,0
18.0,23.0,14.0,33.0,7.0,11.0,22.0,1,0,0
7.0,18.0,17.0,17.0,11.0,24.0,16.0,1,0,0
11.0,7.0,23.0,12.0,11.0,20.0,25.0,1,0,0
11.0,11.0,18.0,15.0,24.0,22.0,22.0,1,0,0
24.0,11.0,7.0,14.0,20.0,22.0,21.0,1,0,0
20.0,24.0,11.0,17.0,22.0,16.0,17.0,1,0,0
22.0,20.0,11.0,23.0,22.0,25.0,12.0,1,0,0
22.0,22.0,24.0,18.0,16.0,22.0,18.0,1,0,0
16.0,22.0,20.0,7.0,25.0,21.0,14.0,1,0,0
25.0,16.0,22.0,11.0,22.0,17.0,12.0,1,0,0
22.0,25.0,22.0,11.0,21.0,12.0,12.0,1,0,0
21.0,22.0,16.0,24.0,17.0,18.0,7.0,1,0,0
17.0,21.0,25.0,20.0,12.0,14.0,9.0,1,0,0
12.0,17.0,22.0,22.0,18.0,12.0,11.0,1,0,0
18.0,12.0,21.0,22.0,14.0,12.0,18.0,1,0,0
14.0,18.0,17.0,16.0,12.0,7.0,19.0,1,0,0
12.0,14.0,12.0,25.0,12.0,9.0,18.0,1,0,0
12.0,12.0,18.0,22.0,7.0,11.0,20.0,1,0,0
7.0,12.0,14.0,21.0,9.0,18.0,18.0,1,0,0
9.0,7.0,12.0,17.0,11.0,19.0,13.0,1,0,0
11.0,9.0,12.0,12.0,18.0,18.0,19.0,1,0,0
18.0,11.0,7.0,18.0,19.0,20.0,11.0,1,0,0
19.0,18.0,9.0,14.0,18.0,18.0,12.0,1,0,0
18.0,19.0,11.0,12.0,20.0,13.0,12.0,1,0,0
20.0,18.0,18.0,12.0,18.0,19.0,22.0,1,0,0
18.0,20.0,19.0,7.0,13.0,11.0,17.0,1,0,0
13.0,18.0,18.0,9.0,19.0,12.0,22.0,1,0,0
19.0,13.0,20.0,11.0,11.0,12.0,23.0,1,0,0
11.0,19.0,18.0,18.0,12.0,22.0,16.0,1,0,0
12.0,11.0,13.0,19.0,12.0,17.0,12.0,1,0,0
12.0,12.0,19.0,18.0,22.0,22.0,18.0,1,0,0
22.0,12.0,11.0,20.0,17.0,23.0,14.0,1,0,0
17.0,22.0,12.0,18.0,22.0,16.0,16.0,1,0,0
22.0,17.0,12.0,13.0,23.0,12.0,13.0,1,0,0
23.0,22.0,22.0,19.0,16.0,18.0,10.0,1,0,0
16.0,23.0,17.0,11.0,12.0,14.0,7.0,1,0,0
12.0,16.0,22.0,12.0,18.0,16.0,9.0,1,0,0
18.0,12.0,23.0,12.0,14.0,13.0,10.0,1,0,0
14.0,18.0,16.0,22.0,16.0,10.0,8.0,1,0,0
16.0,14.0,12.0,17.0,13.0,7.0,10.0,1,0,0
13.0,16.0,18.0,22.0,10.0,9.0,8.0,1,0,0
10.0,13.0,14.0,23.0,7.0,10.0,10.0,1,0,0
7.0,10.0,16.0,16.0,9.0,8.0,10.0,1,0,0
9.0,7.0,13.0,12.0,10.0,10.0,7.0,1,0,0
10.0,9.0,10.0,18.0,8.0,8.0,8.0,1,0,0
8.0,10.0,7.0,14.0,10.0,10.0,7.0,1,0,0
10.0,8.0,9.0,16.0,8.0,10.0,8.0,1,0,0
8.0,10.0,10.0,13.0,10.0,7.0,8.0,1,0,0
10.0,8.0,8.0,10.0,10.0,8.0,11.0,1,0,0
10.0,10.0,10.0,7.0,7.0,7.0,14.0,1,0,0
7.0,10.0,8.0,9.0,8.0,8.0,8.0,1,0,0
8.0,7.0,10.0,10.0,7.0,8.0,6.0,1,0,0
7.0,8.0,10.0,8.0,8.0,11.0,4.0,1,0,0
8.0,7.0,7.0,10.0,8.0,14.0,8.0,1,0,0
8.0,8.0,8.0,8.0,11.0,8.0,10.0,1,0,0
11.0,8.0,7.0,10.0,14.0,6.0,11.0,1,0,0
14.0,11.0,8.0,10.0,8.0,4.0,9.0,1,0,0
8.0,14.0,8.0,7.0,6.0,8.0,10.0,1,0,0
6.0,8.0,11.0,8.0,4.0,10.0,9.0,1,0,0
4.0,6.0,14.0,7.0,8.0,11.0,8.0,1,0,0
8.0,4.0,8.0,8.0,10.0,9.0,6.0,1,0,0
10.0,8.0,6.0,8.0,11.0,10.0,7.0,0,1,0
11.0,10.0,4.0,11.0,9.0,9.0,6.0,0,1,0
9.0,11.0,8.0,14.0,10.0,8.0,8.0,0,1,0
10.0,9.0,10.0,8.0,9.0,6.0,10.0,0,1,0
9.0,10.0,11.0,6.0,8.0,7.0,13.0,0,1,0
8.0,9.0,9.0,4.0,6.0,6.0,12.0,0,1,0
6.0,8.0,10.0,8.0,7.0,8.0,8.0,0,1,0
7.0,6.0,9.0,10.0,6.0,10.0,7.0,0,1,0
6.0,7.0,8.0,11.0,8.0,13.0,5.0,0,1,0
8.0,6.0,6.0,9.0,10.0,12.0,9.0,0,1,0
10.0,8.0,7.0,10.0,13.0,8.0,8.0,0,1,0
13.0,10.0,6.0,9.0,12.0,7.0,8.0,0,1,0
12.0,13.0,8.0,8.0,8.0,5.0,10.0,0,1,0
8.0,12.0,10.0,6.0,7.0,9.0,17.0,0,1,0
7.0,8.0,13.0,7.0,5.0,8.0,20.0,0,1,0
5.0,7.0,12.0,6.0,9.0,8.0,15.0,0,1,0
9.0,5.0,8.0,8.0,8.0,10.0,8.0,0,1,0
8.0,9.0,7.0,10.0,8.0,17.0,14.0,0,1,0
8.0,8.0,5.0,13.0,10.0,20.0,10.0,0,1,0
10.0,8.0,9.0,12.0,17.0,15.0,8.0,0,1,0
17.0,10.0,8.0,8.0,20.0,8.0,8.0,0,1,0
20.0,17.0,8.0,7.0,15.0,14.0,12.0,0,1,0
15.0,20.0,10.0,5.0,8.0,10.0,9.0,0,1,0
8.0,15.0,17.0,9.0,14.0,8.0,8.0,0,1,0
14.0,8.0,20.0,8.0,10.0,8.0,9.0,0,1,0
10.0,14.0,15.0,8.0,8.0,12.0,7.0,0,1,0
8.0,10.0,8.0,10.0,8.0,9.0,6.0,0,1,0
8.0,8.0,14.0,17.0,12.0,8.0,7.0,0,1,0
12.0,8.0,10.0,20.0,9.0,9.0,7.0,0,1,0
9.0,12.0,8.0,15.0,8.0,7.0,6.0,0,1,0
8.0,9.0,8.0,8.0,9.0,6.0,5.0,0,1,0
9.0,8.0,12.0,14.0,7.0,7.0,7.0,0,1,0
7.0,9.0,9.0,10.0,6.0,7.0,9.0,0,1,0
6.0,7.0,8.0,8.0,7.0,6.0,6.0,0,1,0
7.0,6.0,9.0,8.0,7.0,5.0,5.0,0,1,0
7.0,7.0,7.0,12.0,6.0,7.0,10.0,0,1,0
6.0,7.0,6.0,9.0,5.0,9.0,15.0,0,1,0
5.0,6.0,7.0,8.0,7.0,6.0,10.0,0,1,0
7.0,5.0,7.0,9.0,9.0,5.0,10.0,0,1,0
9.0,7.0,6.0,7.0,6.0,10.0,9.0,0,1,0
6.0,9.0,5.0,6.0,5.0,15.0,6.0,0,1,0
5.0,6.0,7.0,7.0,10.0,10.0,5.0,0,1,0
10.0,5.0,9.0,7.0,15.0,10.0,4.0,0,1,0
15.0,10.0,6.0,6.0,10.0,9.0,5.0,0,1,0
10.0,15.0,5.0,5.0,10.0,6.0,11.0,0,1,0
10.0,10.0,10.0,7.0,9.0,5.0,8.0,0,1,0
9.0,10.0,15.0,9.0,6.0,4.0,11.0,0,1,0
6.0,9.0,10.0,6.0,5.0,5.0,8.0,0,1,0
5.0,6.0,10.0,5.0,4.0,11.0,9.0,0,1,0
4.0,5.0,9.0,10.0,5.0,8.0,6.0,0,1,0
5.0,4.0,6.0,15.0,11.0,11.0,5.0,0,1,0
11.0,5.0,5.0,10.0,8.0,8.0,7.0,0,1,0
8.0,11.0,4.0,10.0,11.0,9.0,10.0,0,1,0
11.0,8.0,5.0,9.0,8.0,6.0,11.0,0,1,0
8.0,11.0,11.0,6.0,9.0,5.0,9.0,0,1,0
9.0,8.0,8.0,5.0,6.0,7.0,9.0,0,1,0
6.0,9.0,11.0,4.0,5.0,10.0,10.0,0,1,0
5.0,6.0,8.0,5.0,7.0,11.0,8.0,0,1,0
7.0,5.0,9.0,11.0,10.0,9.0,10.0,0,1,0
10.0,7.0,6.0,8.0,11.0,9.0,9.0,0,1,0
11.0,10.0,5.0,11.0,9.0,10.0,9.0,0,1,0
9.0,11.0,7.0,8.0,9.0,8.0,11.0,0,1,0
9.0,9.0,10.0,9.0,10.0,10.0,10.0,0,1,0
10.0,9.0,11.0,6.0,8.0,9.0,9.0,0,1,0
8.0,10.0,9.0,5.0,10.0,9.0,6.0,0,1,0
10.0,8.0,9.0,7.0,9.0,11.0,4.0,0,1,0
9.0,10.0,10.0,10.0,9.0,10.0,4.0,0,1,0
9.0,9.0,8.0,11.0,11.0,9.0,7.0,0,1,0
11.0,9.0,10.0,9.0,10.0,6.0,5.0,0,1,0
10.0,11.0,9.0,9.0,9.0,4.0,5.0,0,1,0
9.0,10.0,9.0,10.0,6.0,4.0,11.0,0,1,0
6.0,9.0,11.0,8.0,4.0,7.0,10.0,0,1,0
4.0,6.0,10.0,10.0,4.0,5.0,10.0,0,1,0
4.0,4.0,9.0,9.0,7.0,5.0,13.0,0,1,0
7.0,4.0,6.0,9.0,5.0,11.0,10.0,0,1,0
5.0,7.0,4.0,11.0,5.0,10.0,10.0,0,1,0
5.0,5.0,4.0,10.0,11.0,10.0,7.0,0,1,0
11.0,5.0,7.0,9.0,10.0,13.0,5.0,0,1,0
10.0,11.0,5.0,6.0,10.0,10.0,7.0,0,1,0
10.0,10.0,5.0,4.0,13.0,10.0,6.0,0,1,0
13.0,10.0,11.0,4.0,10.0,7.0,8.0,0,1,0
10.0,13.0,10.0,7.0,10.0,5.0,6.0,0,1,0
10.0,10.0,10.0,5.0,7.0,7.0,5.0,0,1,0
7.0,10.0,13.0,5.0,5.0,6.0,8.0,0,1,0
5.0,7.0,10.0,11.0,7.0,8.0,12.0,0,1,0
7.0,5.0,10.0,10.0,6.0,6.0,14.0,0,1,0
6.0,7.0,7.0,10.0,8.0,5.0,10.0,0,1,0
8.0,6.0,5.0,13.0,6.0,8.0,5.0,0,1,0
6.0,8.0,7.0,10.0,5.0,12.0,6.0,0,1,0
5.0,6.0,6.0,10.0,8.0,14.0,10.0,0,1,0
8.0,5.0,8.0,7.0,12.0,10.0,10.0,0,1,0
12.0,8.0,6.0,5.0,14.0,5.0,11.0,0,1,0
14.0,12.0,5.0,7.0,10.0,6.0,8.0,0,0,0
10.0,14.0,8.0,6.0,5.0,10.0,7.0,0,0,0
5.0,10.0,12.0,8.0,6.0,10.0,7.0,0,0,0
6.0,5.0,14.0,6.0,10.0,11.0,8.0,0,0,0
10.0,6.0,10.0,5.0,10.0,8.0,8.0,0,0,0
10.0,10.0,5.0,8.0,11.0,7.0,8.0,0,0,0
11.0,10.0,6.0,12.0,8.0,7.0,11.0,0,0,0
8.0,11.0,10.0,14.0,7.0,8.0,8.0,0,0,0
7.0,8.0,10.0,10.0,7.0,8.0,5.0,0,0,0
7.0,7.0,11.0,5.0,8.0,8.0,6.0,0,0,0
8.0,7.0,8.0,6.0,8.0,11.0,14.0,0,0,0
8.0,8.0,7.0,10.0,8.0,8.0,10.0,0,0,0
8.0,8.0,7.0,10.0,11.0,5.0,10.0,0,0,0
11.0,8.0,8.0,11.0,8.0,6.0,8.0,0,0,0
8.0,11.0,8.0,8.0,5.0,14.0,5.0,0,0,0
5.0,8.0,8.0,7.0,6.0,10.0,8.0,0,0,0
6.0,5.0,11.0,7.0,14.0,10.0,7.0,0,0,0
14.0,6.0,8.0,8.0,10.0,8.0,8.0,0,0,0
10.0,14.0,5.0,8.0,10.0,5.0,5.0,0,0,0
10.0,10.0,6.0,8.0,8.0,8.0,8.0,0,0,0
8.0,10.0,14.0,11.0,5.0,7.0,12.0,0,0,0
5.0,8.0,10.0,8.0,8.0,8.0,24.0,0,0,0
8.0,5.0,10.0,5.0,7.0,5.0,18.0,0,0,0
7.0,8.0,8.0,6.0,8.0,8.0,10.0,0,0,0
8.0,7.0,5.0,14.0,5.0,12.0,10.0,0,0,0
5.0,8.0,8.0,10.0,8.0,24.0,15.0,0,0,0
8.0,5.0,7.0,10.0,12.0,18.0,13.0,0,0,0
12.0,8.0,8.0,8.0,24.0,10.0,16.0,0,0,0
24.0,12.0,5.0,5.0,18.0,10.0,9.0,0,0,0
18.0,24.0,8.0,8.0,10.0,15.0,15.0,0,0,0
10.0,18.0,12.0,7.0,10.0,13.0,26.0,0,1,0
10.0,10.0,24.0,8.0,15.0,16.0,8.0,0,1,0
15.0,10.0,18.0,5.0,13.0,9.0,9.0,0,1,0
13.0,15.0,10.0,8.0,16.0,15.0,6.0,0,1,0
16.0,13.0,10.0,12.0,9.0,26.0,7.0,0,1,0
9.0,16.0,15.0,24.0,15.0,8.0,5.0,0,1,0
15.0,9.0,13.0,18.0,26.0,9.0,9.0,0,1,0
26.0,15.0,16.0,10.0,8.0,6.0,10.0,0,1,0
8.0,26.0,9.0,10.0,9.0,7.0,11.0,0,1,0
9.0,8.0,15.0,15.0,6.0,5.0,7.0,0,1,0
6.0,9.0,26.0,13.0,7.0,9.0,8.0,0,1,0
7.0,6.0,8.0,16.0,5.0,10.0,15.0,0,1,0
5.0,7.0,9.0,9.0,9.0,11.0,18.0,0,1,0
9.0,5.0,6.0,15.0,10.0,7.0,23.0,0,1,0
10.0,9.0,7.0,26.0,11.0,8.0,14.0,0,1,0
11.0,10.0,5.0,8.0,7.0,15.0,10.0,0,1,0
7.0,11.0,9.0,9.0,8.0,18.0,10.0,0,1,0
8.0,7.0,10.0,6.0,15.0,23.0,11.0,0,1,0
15.0,8.0,11.0,7.0,18.0,14.0,18.0,0,1,0
18.0,15.0,7.0,5.0,23.0,10.0,20.0,0,1,0
23.0,18.0,8.0,9.0,14.0,10.0,23.0,0,1,0
14.0,23.0,15.0,10.0,10.0,11.0,16.0,0,1,0
10.0,14.0,18.0,11.0,10.0,18.0,22.0,0,1,0
10.0,10.0,23.0,7.0,11.0,20.0,10.0,0,1,0
11.0,10.0,14.0,8.0,18.0,23.0,12.0,0,1,0
18.0,11.0,10.0,15.0,20.0,16.0,16.0,0,1,0
20.0,18.0,10.0,18.0,23.0,22.0,14.0,0,1,0
23.0,20.0,11.0,23.0,16.0,10.0,15.0,0,1,0
16.0,23.0,18.0,14.0,22.0,12.0,16.0,0,1,0
22.0,16.0,20.0,10.0,10.0,16.0,24.0,0,1,0
10.0,22.0,23.0,10.0,12.0,14.0,15.0,0,1,0
12.0,10.0,16.0,11.0,16.0,15.0,15.0,0,0,1
16.0,12.0,22.0,18.0,14.0,16.0,10.0,0,0,1
14.0,16.0,10.0,20.0,15.0,24.0,17.0,0,0,1
15.0,14.0,12.0,23.0,16.0,15.0,20.0,0,0,1
16.0,15.0,16.0,16.0,24.0,15.0,21.0,0,0,1
24.0,16.0,14.0,22.0,15.0,10.0,19.0,0,0,1
15.0,24.0,15.0,10.0,15.0,17.0,23.0,0,0,1
15.0,15.0,16.0,12.0,10.0,20.0,24.0,0,0,1
10.0,15.0,24.0,16.0,17.0,21.0,14.0,0,0,1
17.0,10.0,15.0,14.0,20.0,19.0,9.0,0,0,1
20.0,17.0,15.0,15.0,21.0,23.0,13.0,0,0,1
21.0,20.0,10.0,16.0,19.0,24.0,16.0,0,0,1
19.0,21.0,17.0,24.0,23.0,14.0,21.0,0,0,1
23.0,19.0,20.0,15.0,24.0,9.0,20.0,0,0,1
24.0,23.0,21.0,15.0,14.0,13.0,19.0,0,0,1
14.0,24.0,19.0,10.0,9.0,16.0,11.0,0,0,1
9.0,14.0,23.0,17.0,13.0,21.0,12.0,0,0,1
13.0,9.0,24.0,20.0,16.0,20.0,21.0,0,0,1
16.0,13.0,14.0,21.0,21.0,19.0,23.0,0,0,1
21.0,16.0,9.0,19.0,20.0,11.0,22.0,0,0,1
20.0,21.0,13.0,23.0,19.0,12.0,25.0,0,0,1
19.0,20.0,16.0,24.0,11.0,21.0,23.0,0,0,1
11.0,19.0,21.0,14.0,12.0,23.0,23.0,0,0,1
12.0,11.0,20.0,9.0,21.0,22.0,28.0,0,0,1
21.0,12.0,19.0,13.0,23.0,25.0,28.0,0,0,1
23.0,21.0,11.0,16.0,22.0,23.0,26.0,0,0,1
22.0,23.0,12.0,21.0,25.0,23.0,27.0,0,0,1
25.0,22.0,21.0,20.0,23.0,28.0,28.0,0,0,1
23.0,25.0,23.0,19.0,23.0,28.0,32.0,0,0,1
23.0,23.0,22.0,11.0,28.0,26.0,40.0,0,0,1
28.0,23.0,25.0,12.0,28.0,27.0,38.0,0,0,1
28.0,28.0,23.0,21.0,26.0,28.0,25.0,0,0,1
26.0,28.0,23.0,23.0,27.0,32.0,25.0,0,0,1
27.0,26.0,28.0,22.0,28.0,40.0,24.0,0,0,1
28.0,27.0,28.0,25.0,32.0,38.0,22.0,0,0,1
32.0,28.0,26.0,23.0,40.0,25.0,20.0,0,0,1
40.0,32.0,27.0,23.0,38.0,25.0,34.0,0,0,1
38.0,40.0,28.0,28.0,25.0,24.0,36.0,0,0,1
25.0,38.0,32.0,28.0,25.0,22.0,40.0,0,0,1
25.0,25.0,40.0,26.0,24.0,20.0,33.0,0,0,1
24.0,25.0,38.0,27.0,22.0,34.0,22.0,0,0,1
22.0,24.0,25.0,28.0,20.0,36.0,21.0,0,0,1
20.0,22.0,25.0,32.0,34.0,40.0,36.0,0,0,1
34.0,20.0,24.0,40.0,36.0,33.0,54.0,0,0,1
36.0,34.0,22.0,38.0,40.0,22.0,56.0,0,0,1
40.0,36.0,20.0,25.0,33.0,21.0,54.0,0,0,1
33.0,40.0,34.0,25.0,22.0,36.0,38.0,0,0,1
22.0,33.0,36.0,24.0,21.0,54.0,18.0,0,0,1
21.0,22.0,40.0,22.0,36.0,56.0,17.0,0,0,1
36.0,21.0,33.0,20.0,54.0,54.0,23.0,0,0,1
54.0,36.0,22.0,34.0,56.0,38.0,11.0,0,0,1
56.0,54.0,21.0,36.0,54.0,18.0,14.0,0,0,1
54.0,56.0,36.0,40.0,38.0,17.0,15.0,0,0,1
38.0,54.0,54.0,33.0,18.0,23.0,17.0,0,0,1
18.0,38.0,56.0,22.0,17.0,11.0,16.0,0,0,1
17.0,18.0,54.0,21.0,23.0,14.0,17.0,0,0,1
23.0,17.0,38.0,36.0,11.0,15.0,21.0,0,0,1
11.0,23.0,18.0,54.0,14.0,17.0,27.0,0,0,1
14.0,11.0,17.0,56.0,15.0,16.0,31.0,0,0,1
